game_id,home_club_id,away_club_id,home_club_total_shots,away_club_total_shots,home_club_shots_off_target,away_club_shots_off_target,home_club_shots_saved,away_club_shots_saved,home_club_corners,away_club_corners,home_club_free_kicks,away_club_free_kicks,home_club_fouls,away_club_fouls,home_club_offsides,away_club_offsides
2871656,16,3,9.0,2.0,9.0,2.0,2.0,4.0,8.0,5.0,21.0,12.0,11.0,16.0,1.0,5.0
2871653,39,27,4.0,7.0,7.0,4.0,5.0,4.0,3.0,5.0,16.0,12.0,10.0,14.0,2.0,2.0
2871651,167,24,7.0,2.0,5.0,6.0,2.0,4.0,1.0,2.0,14.0,16.0,14.0,12.0,2.0,2.0
2871544,23826,60,12.0,4.0,8.0,2.0,2.0,8.0,8.0,2.0,13.0,12.0,11.0,12.0,1.0,1.0
2871503,82,16,0.0,6.0,4.0,5.0,3.0,0.0,3.0,5.0,14.0,15.0,9.0,14.0,6.0,1.0
2872177,631,281,2.0,5.0,2.0,7.0,4.0,2.0,4.0,8.0,13.0,17.0,9.0,13.0,8.0,0.0
2872165,11,984,6.0,1.0,6.0,5.0,1.0,4.0,7.0,4.0,15.0,8.0,8.0,15.0,0.0,0.0
2872163,1010,281,1.0,10.0,5.0,9.0,4.0,1.0,3.0,11.0,6.0,9.0,7.0,5.0,2.0,1.0
2872139,31,11,9.0,0.0,5.0,6.0,0.0,7.0,4.0,3.0,14.0,9.0,6.0,9.0,3.0,5.0
2872137,873,2288,3.0,4.0,13.0,2.0,2.0,3.0,1.0,1.0,11.0,10.0,10.0,10.0,0.0,1.0
2872129,31,873,13.0,1.0,5.0,2.0,1.0,12.0,4.0,2.0,15.0,13.0,11.0,12.0,2.0,3.0
2872115,11,1003,10.0,4.0,8.0,2.0,1.0,6.0,9.0,4.0,14.0,14.0,9.0,12.0,5.0,2.0
2872100,60,167,3.0,1.0,9.0,2.0,1.0,1.0,5.0,4.0,21.0,13.0,13.0,18.0,0.0,3.0
2872090,3,27,4.0,10.0,4.0,6.0,7.0,3.0,4.0,7.0,12.0,17.0,12.0,10.0,5.0,2.0
2872084,33,18,4.0,4.0,3.0,4.0,3.0,3.0,1.0,1.0,11.0,11.0,11.0,11.0,0.0,0.0
2872336,631,1003,7.0,1.0,4.0,6.0,1.0,7.0,6.0,3.0,16.0,18.0,13.0,13.0,5.0,3.0
2872282,762,29,4.0,4.0,3.0,3.0,3.0,4.0,4.0,1.0,15.0,13.0,11.0,11.0,2.0,4.0
2872278,985,989,2.0,8.0,3.0,3.0,8.0,1.0,4.0,9.0,10.0,15.0,13.0,10.0,2.0,0.0
2872269,985,281,5.0,7.0,2.0,3.0,6.0,4.0,2.0,8.0,11.0,21.0,17.0,11.0,4.0,0.0
2872255,989,180,5.0,3.0,6.0,8.0,2.0,4.0,5.0,4.0,19.0,7.0,7.0,13.0,0.0,6.0
2872237,1110,281,1.0,5.0,3.0,7.0,3.0,0.0,3.0,7.0,12.0,10.0,7.0,9.0,3.0,3.0
